subarea_key,dso_operator,subarea_name,subarea_number,country,municipality_name,municipality_code_scb,concession_type,partial,note,source_doc_key,source_page,extraction_run_id,confidence_tier
ellevio_halland,Ellevio,Halland,1,SE,Kungsbacka,,excluded,false,"City center of Kungsbacka is explicitly excluded from Ellevio's area concession in this subarea.",ellevio_nup_2025_2034,7,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_halland,Ellevio,Halland,1,SE,Mölndal,,excluded,true,"Northern Mölndal is explicitly excluded from Ellevio's area concession.",ellevio_nup_2025_2034,7,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_orust_tjorn,Ellevio,Orust-Tjörn,2,SE,Orust,,area_concession_shared,false,"Ellevio holds the area concession in the entire subarea jointly with Västra Orust Elförening.",ellevio_nup_2025_2034,7,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_orust_tjorn,Ellevio,Orust-Tjörn,2,SE,Tjörn,,area_concession_shared,false,"Ellevio holds the area concession in the entire subarea jointly with Västra Orust Elförening.",ellevio_nup_2025_2034,7,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_norra_bohuslan,Ellevio,Norra Bohuslän,3,SE,Strömstad,,area_concession_full,false,,ellevio_nup_2025_2034,8,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_norra_bohuslan,Ellevio,Norra Bohuslän,3,SE,Tanum,,area_concession_full,false,,ellevio_nup_2025_2034,8,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_norra_bohuslan,Ellevio,Norra Bohuslän,3,SE,Sotenäs,,area_concession_full,false,"Ellevio holds the area concession; the ownership boundary runs at 10 kV — Vattenfall Eldistribution owns the distribution substations.",ellevio_nup_2025_2034,8,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_norra_bohuslan,Ellevio,Norra Bohuslän,3,SE,Munkedal,,area_concession_full,false,"Ellevio holds the area concession; the ownership boundary runs at 10 kV — Vattenfall Eldistribution owns the distribution substations.",ellevio_nup_2025_2034,8,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_skaraborg,Ellevio,Skaraborg,4,SE,Gullspång,,neighbor,false,"The boundary between subarea Skaraborg and subarea Värmland runs through this municipality.",ellevio_nup_2025_2034,8,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_skaraborg,Ellevio,Skaraborg,4,SE,Laxå,,neighbor,false,"The boundary between subarea Skaraborg and subarea Värmland runs through this municipality (Örebro county).",ellevio_nup_2025_2034,8,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_skaraborg,Ellevio,Skaraborg,4,SE,Götene,,area_concession_partial,true,"Götene Elförening and VänerEnergi hold area concession in parts of the municipality.",ellevio_nup_2025_2034,8,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_skaraborg,Ellevio,Skaraborg,4,SE,Mariestad,,area_concession_partial,true,"Götene Elförening and VänerEnergi hold area concession in parts of the municipality.",ellevio_nup_2025_2034,8,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_skaraborg,Ellevio,Skaraborg,4,SE,Töreboda,,area_concession_partial,true,"Götene Elförening and VänerEnergi hold area concession in parts of the municipality.",ellevio_nup_2025_2034,8,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_nynashamn,Ellevio,Nynäshamn,5,SE,Nynäshamn,,area_concession_full,false,"Ellevio holds the area concession for the entire subarea.",ellevio_nup_2025_2034,9,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_ekero,Ellevio,Ekerö,6,SE,Ekerö,,area_concession_full,false,"Ellevio holds the area concession for the entire subarea Ekerö, including a few smaller islands outside the municipal borders.",ellevio_nup_2025_2034,9,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_stockholm,Ellevio,Stockholm,7,SE,Stockholm,,area_concession_full,false,"Ellevio's grid in this subarea serves approximately 500,000 customers, about half of Ellevio's total customer base.",ellevio_nup_2025_2034,10,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_lidingo,Ellevio,Lidingö,8,SE,Lidingö,,area_concession_full,false,"Ellevio holds the area concession for the entire subarea, plus line concession for 220 kV cables to Koltorp.",ellevio_nup_2025_2034,10,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_taby,Ellevio,Täby,9,SE,Täby,,area_concession_full,false,"Ellevio holds the area concession for the entire subarea; local grid runs at voltages up to 24 kV.",ellevio_nup_2025_2034,11,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_vallentuna,Ellevio,Vallentuna,10,SE,Vallentuna,,area_concession_full,false,"Ellevio holds the area concession for the entire subarea; local grid runs at voltages up to 24 kV.",ellevio_nup_2025_2034,11,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_varmland,Ellevio,Värmland,11,SE,Arvika,,area_concession_shared,false,"Ellevio holds an area concession; other DSOs also hold area concessions for the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_varmland,Ellevio,Värmland,11,SE,Karlstad,,area_concession_shared,false,"Ellevio holds an area concession; other DSOs also hold area concessions for the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_varmland,Ellevio,Värmland,11,SE,Torsby,,area_concession_shared,false,"Ellevio holds an area concession; other DSOs also hold area concessions for the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_varmland,Ellevio,Värmland,11,SE,Filipstad,,area_concession_shared,false,"Ellevio holds an area concession; other DSOs also hold area concessions for the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_varmland,Ellevio,Värmland,11,SE,Karlskoga,,area_concession_shared,false,"Örebro county. Ellevio holds an area concession; other DSOs also hold area concessions for the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_varmland,Ellevio,Värmland,11,SE,Kristinehamn,,area_concession_shared,false,"Ellevio holds an area concession; other DSOs also hold area concessions for the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_varmland,Ellevio,Värmland,11,SE,Degerfors,,area_concession_shared,false,"Örebro county. Ellevio holds an area concession; other DSOs also hold area concessions for the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_dalarna,Ellevio,Dalarna,12,SE,Gagnef,,area_concession_full,false,"Ellevio owns the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_dalarna,Ellevio,Dalarna,12,SE,Mora,,area_concession_full,false,"Ellevio owns the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_dalarna,Ellevio,Dalarna,12,SE,Orsa,,area_concession_full,false,"Ellevio owns the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_dalarna,Ellevio,Dalarna,12,SE,Vansbro,,area_concession_full,false,"Ellevio owns the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_dalarna,Ellevio,Dalarna,12,SE,Älvdalen,,area_concession_full,false,"Ellevio owns the local grid.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_dalarna,Ellevio,Dalarna,12,SE,Ludvika,,area_concession_partial,true,"Ellevio owns the local grid in parts of Ludvika.",ellevio_nup_2025_2034,12,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_halsingland,Ellevio,Hälsingland,13,SE,Nordanstig,,excluded,false,"Explicitly excluded from the subarea despite being in Gävleborg county.",ellevio_nup_2025_2034,13,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_halsingland,Ellevio,Hälsingland,13,SE,Hofors,,excluded,false,"Explicitly excluded from the subarea despite being in Gävleborg county.",ellevio_nup_2025_2034,13,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_halsingland,Ellevio,Hälsingland,13,SE,Sandviken,,excluded,false,"Explicitly excluded from the subarea despite being in Gävleborg county.",ellevio_nup_2025_2034,13,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_halsingland,Ellevio,Hälsingland,13,SE,Orsa,,area_concession_partial,true,"Parts of Orsa municipality (Dalarna county) are part of the Hälsingenät structure.",ellevio_nup_2025_2034,13,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_halsingland,Ellevio,Hälsingland,13,SE,Rättvik,,area_concession_partial,true,"Parts of Rättvik municipality (Dalarna county) are part of the Hälsingenät structure.",ellevio_nup_2025_2034,13,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_halsingland,Ellevio,Hälsingland,13,SE,Ljusdal,,regional_grid_only,false,"Ellevio owns the regional grid; Ljusdals Elnät owns the local grid.",ellevio_nup_2025_2034,13,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_halsingland,Ellevio,Hälsingland,13,SE,Söderhamn,,regional_grid_only,false,"Ellevio owns the regional grid; Söderhamn Elnät owns the local grid.",ellevio_nup_2025_2034,13,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_halsingland,Ellevio,Hälsingland,13,SE,Gävle,,area_concession_partial,true,"Gävle Energi holds the area concession for most of Gävle municipality.",ellevio_nup_2025_2034,13,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_torpberget,Ellevio,Torpberget,14,SE,Ljusdal,,line_concession_only,true,"Production cluster — Ellevio holds line concession for 130 kV lines connecting wind power to the Torpberget transmission substation.",ellevio_nup_2025_2034,13,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_olingan,Ellevio,Olingan,15,SE,Härjedalen,,line_concession_only,true,"Production cluster — Ellevio holds line concession for radial 130 kV supply to the Olingan transmission substation.",ellevio_nup_2025_2034,14,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_laforsen,Ellevio,Laforsen,16,SE,Ljusdal,,line_concession_only,true,"Ellevio holds line concession for 130 kV lines; the network also serves Härjeåns elnät, which holds the area concession in this subarea.",ellevio_nup_2025_2034,14,2026-05-03-ellevio-nup-1.2-v1,observed
ellevio_laforsen,Ellevio,Laforsen,16,SE,Härjedalen,,line_concession_only,true,"Ellevio holds line concession for 130 kV lines; the network also serves Härjeåns elnät.",ellevio_nup_2025_2034,14,2026-05-03-ellevio-nup-1.2-v1,observed
