subarea_key,dso_operator,subarea_name,subarea_number,country,municipality_count,regional_grid_kv,local_grid_kv,interconnection_points_count,peak_load_mw,peak_load_basis,total_production_mw_known,production_types,source_page
ellevio_halland,Ellevio,Halland,1,SE,2,130;50;40,10;20;6,2,640,current_typical,90,chp;wind,7
ellevio_orust_tjorn,Ellevio,Orust-Tjörn,2,SE,2,40,10,2,90,today_estimate,28,solar_distributed,7
ellevio_norra_bohuslan,Ellevio,Norra Bohuslän,3,SE,4,40,10,5,150,today_estimate,200,wind,8
ellevio_skaraborg,Ellevio,Skaraborg,4,SE,5,130;40,10,2,160,today_estimate,100,wind,8
ellevio_nynashamn,Ellevio,Nynäshamn,5,SE,1,,24,2,66,historic_max,12,solar_distributed,9
ellevio_ekero,Ellevio,Ekerö,6,SE,1,,24,2,84,historic_max,15,solar_distributed;wind,9
ellevio_stockholm,Ellevio,Stockholm,7,SE,1,220;110;33,10,5,1761,historic_max,77,solar_distributed;wind;chp;gas_turbine,10
ellevio_lidingo,Ellevio,Lidingö,8,SE,1,220,24,3,88,historic_max,7.5,solar_distributed,10
ellevio_taby,Ellevio,Täby,9,SE,1,,24,4,165,historic_max,23,solar_distributed,11
ellevio_vallentuna,Ellevio,Vallentuna,10,SE,1,,24,2,81,historic_max,13,solar_distributed,11
ellevio_varmland,Ellevio,Värmland,11,SE,7,130;50;40;30,10;20,2,1500,today_estimate,1200,hydro;wind,12
ellevio_dalarna,Ellevio,Dalarna,12,SE,6,130;50,10;20,3,800,today_estimate,900,hydro;wind,12
ellevio_halsingland,Ellevio,Hälsingland,13,SE,8,130;70;50;40;30,,6,400,today_estimate,1020,wind;hydro;chp,13
ellevio_torpberget,Ellevio,Torpberget,14,SE,1,130,,1,,,230,wind,13
ellevio_olingan,Ellevio,Olingan,15,SE,1,130,,1,,,286,wind,14
ellevio_laforsen,Ellevio,Laforsen,16,SE,2,130;220;400,,1,,,370,hydro,14
ellevio_tovasen,Ellevio,Tovåsen,17,SE,1,130,,1,,,650,wind,15
