project_key,project_name,station_name,subproject_grouping,program,project_type,existing_kv,new_kv,decommissioned_kv,commission_year,commission_quarter,value_band_msek,package_id,equipment_summary,lifecycle_phase,raw_status,svk_dependency,customer_agreement,source_page,confidence_tier
ellevio_nordsyd_njutanger,Njutånger,Njutånger,Östra Hälsingland,nordsyd,greenfield,,,,,2027,,,,separate,,permit_pending,Behöver inte vara med,true,,20,observed
ellevio_nordsyd_gronviken,Grönviken,Grönviken,Ockelbo,nordsyd,mixed,400,400;130,,2028,,between_100_and_200,separate,420kV CB(2);145kV CB(10-12),construction,Anslutningsavtal med kund,true,Customer in Grönviken — immediate start,9,observed
ellevio_nordsyd_ockelbo,Ockelbo,Ockelbo,Ockelbo,nordsyd,mixed,220,130,220,2028,,under_100,separate,145kV CB(6-8);transformer(2-3),permit_pending,projektfas,true,,9,observed
ellevio_nordsyd_laforsen,Laforsen,Laforsen,Laforsen,nordsyd,brownfield,220;130,130,220,2028,,over_200,1,145kV CB(6-8),permit_pending,projektfas,true,,11,observed
ellevio_nordsyd_enan,Enån,Enån,Laforsen,nordsyd,greenfield,,400;130,,2028,,over_200,1,420kV CB(4);145kV CB(6-8),permit_pending,projektfas,true,,11,observed
ellevio_nordsyd_simessjon,Simessjön,Simessjön,Östra Hälsingland (Bollnästriangeln),nordsyd,greenfield,,130,,2028,,over_200,2,145kV CB(4-6),permit_pending,Pågående prekval,true,,18,observed
ellevio_nordsyd_branderna,Brändarna,Brändarna,Östra Hälsingland (Bollnästriangeln),nordsyd,greenfield,,10,,2028,,over_200,2,12kV switchgear,permit_pending,Pågående prekval,true,,18,observed
ellevio_nordsyd_prastnaset,Prästnäset,Prästnäset,Östra Hälsingland (Bollnästriangeln),nordsyd,greenfield,,130;70;10,,2029,,over_200,2,145kV CB(6-8);72kV CB(2);transformer(3);12kV switchgear,permit_pending,Pågående prekval,true,,18,observed
ellevio_nordsyd_bolle,Bolle,Bolle,Östra Hälsingland (Bollnästriangeln),nordsyd,greenfield,,130,,2030,,over_200,2,145kV CB(4-6),permit_pending,Pågående prekval,true,,18,estimated
ellevio_nordsyd_soderala,Söderala,Söderala,Östra Hälsingland,nordsyd,brownfield,220,130,220,2029,,under_100,3,145kV CB(4-6),permit_pending,,true,,20,observed
