project_key,kartnr,project_description,region,bidding_zones,decision_phase,motivation,planned_year_min,planned_year_max,planned_year_raw,in_or_out_of_service,country,source_doc_key,source_page,extraction_run_id,confidence_tier
svk_nbn_31075,31075,Porjus ny 400 kV-station,Region Norrbotten,SE1,under_consideration,connection,2034,2034,2034,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31083,31083,Gällivare ny 400 kV-station,Region Norrbotten,SE1,under_consideration,connection,2034,2034,2034,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31089,31089,Porjusberget–Porjus förstärkningsåtgärd,Region Norrbotten,SE1,under_consideration,system_reinforcement,2034,2034,2034,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31679,31679,Kiruna ny 400 kV-station,Region Norrbotten,SE1,under_consideration,connection,2034,2034,2034,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31683,31683,Kiruna–Gällivare ny 400 kV-ledning,Region Norrbotten,SE1,under_consideration,connection,2034,2034,2034,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31635,31635,Aurora Line 2 ny förbindelse SE1–Finland,Region Norrbotten,SE1,under_consideration,market_integration,2036,2036,2036,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31079,31079,Ligga–Porjus ny 400 kV-ledning,Region Norrbotten,SE1,under_consideration,connection,2037,2037,2037,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_30901,30901,Ligga–Vargfors (Malånäset) ledningsförnyelse,Region Norrbotten,SE1,under_consideration,reinvestment,2037,2037,2037,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31095,31095,Ligga–Grundfors ledningsförnyelse,Region Norrbotten,SE1,under_consideration,system_reinforcement,2038,2038,2038,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_10089,10089,Råbäcken–Stornorrfors ny 400 kV-ledning,Region Norrbotten,SE1,under_consideration,system_reinforcement,2039,2039,2039,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31087,31087,Norska gränsen–Porjusberget temperaturuppgradering,Region Norrbotten,SE1,under_consideration,system_reinforcement,2043,2043,2043,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31190,31190,Letsi stationsförnyelse,Region Norrbotten,SE1,preparation,reinvestment,2026,2026,2026,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_10894,10894,Letsi–Svartbyn ny 400 kV-ledning,Region Norrbotten,SE1,preparation,system_reinforcement,2028,2028,2028,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31541,31541,Naalojärvi ny 400 kV-station,Region Norrbotten,SE1,preparation,connection,2029,2029,2029,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31761,31761,Vietas stationsförnyelse,Region Norrbotten,SE1,preparation,reinvestment,2029,2029,2029,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31826,31826,Isovaara SC-stationsförnyelse,Region Norrbotten,SE1,preparation,system_reinforcement,2029,2029,2029,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31989,31989,Pålkem ny 400 kV-station,Region Norrbotten,SE1,preparation,connection,2029,2029,2029,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31687,31687,Naalojärvi–Messaure ny 400 kV-ledning,Region Norrbotten,SE1,preparation,connection,2031,2031,2031,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31093,31093,Porjusberget–Ligga förstärkningsåtgärd,Region Norrbotten,SE1,preparation,system_reinforcement,2032,2032,2032,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31894,31894,Harsprånget–Porjusberget ledningsförnyelse,Region Norrbotten,SE1,preparation,system_reinforcement,2033,2033,2033,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31302,31302,Ligga stationsförnyelse,Region Norrbotten,SE1,construction,reinvestment,2026,2026,2026,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31106,31106,Hällmyran ny 400 kV-station,Region Norrbotten,SE1,construction,connection,2029,2029,2029,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31134,31134,Porjusberget–Naalojärvi ny 400 kV-ledning,Region Norrbotten,SE1,construction,connection,2029,2029,2029,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31315,31315,Svartbyn–Hällmyran två nya 400 kV-ledningar,Region Norrbotten,SE1,construction,connection,2029,2029,2029,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_nbn_31754,31754,Svartbyn stationsförnyelse,Region Norrbotten,SE1,construction,reinvestment,2029,2029,2029,in_service,SE,svk_nup_2026_2035,72,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_30973,30973,Tuggen stationsförnyelse,Region Västerbotten,SE1;SE2,under_consideration,reinvestment,2031,2031,2031,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_30897,30897,Grundfors–Storfinnforsen ledningsförnyelse,Region Västerbotten,SE1;SE2,under_consideration,reinvestment,2037,2037,2037,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_30904,30904,Grundfors–Ramsele ledningsförnyelse,Region Västerbotten,SE1;SE2,under_consideration,reinvestment,2039,2039,2039,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_10089,10089,Råbäcken–Stornorrfors ny 400 kV-ledning,Region Västerbotten,SE1;SE2,under_consideration,system_reinforcement,2039,2039,2039,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_29900,29900,Stornorrfors–Hjälta ledningsförnyelse,Region Västerbotten,SE1;SE2,under_consideration,reinvestment,2043,2043,2043,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_31467,31467,Spänningshöjning av 220kV-ledning SE2–NO4,Region Västerbotten,SE1;SE2,under_consideration,market_integration,2045,2045,2045,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_30248,30248,Vargfors (Malånäset) stationsförnyelse,Region Västerbotten,SE1;SE2,preparation,reinvestment,2029,2029,2029,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_30817,30817,Malånäset–Högnäs ny 400 kV-ledning,Region Västerbotten,SE1;SE2,preparation,system_reinforcement,2029,2029,2029,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_30830,30830,Högnäs stationsutbyggnad,Region Västerbotten,SE1;SE2,preparation,system_reinforcement,2029,2029,2029,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_30311,30311,Lidmyran ny 400 kV-station,Region Västerbotten,SE1;SE2,preparation,connection,2031,2031,2031,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vbn_30753,30753,Stornorrfors stationsförnyelse,Region Västerbotten,SE1;SE2,construction,reinvestment,2027,2027,2027,in_service,SE,svk_nup_2026_2035,74,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29725,29725,Degerforsen stationsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2031,2031,2031,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
